item_id,item_desc,item_id_encoded
100660,100plus Lime 325ml,0
6998001,Sharp x2025.07,1
50010001,Phone Casing,2
70010001,Micro USB,3
80010002,PANADOL 10s,4
1020234001,KM KOREAN MARINADE(FOR BEEF RIB) 500G,5
1020234701,KM FRESH UDON 4 IN 1 200G,6
1080462101,MAMAMI ORGANIC WAVE OVERNIGHT OAT 120G,7
1090082801,WAFER KEPING,8
1090082901,BISKUT BURGER,9
1090092001,KACANG PARANG CILI,10
1090128501,FRUIT NETRON 14 (PCS),11
1090128701,FRUIT NETRON 14 (CTN),12
1110029901,AJI-SHIO PEPPER (45GM),13
1110209601,BASKET DEPOSIT,14
1120000301,CN214-CB-PVC6SCAV(SQ)BROWN CASE-10PCS,15
1120001001,CN271-PVC4CAVBROWNBASE-10PCS,16
1120001101,CN212-CBPVC2CAVBROWNBASEW/COVER-10PCS,17
1120001501,BOOKS(IMP)CONE FIGURES- 1PC,18
1120003601,WYCCO171SSASSO/COOKIE CUTTER- 1SET,19
1151620301,HILO SALTED EGGS 4'S B,20
1151622701,VINH CHICKEN CENTRY EGGS 4'S,21
1151622901,VINH DUCK EGGS 4'S GREEN,22
1151624201,HILO SALTED EGGS 4'S A PKT,23
2010000401,GARDENIA CREAM ROLL-VANILA 50G *1,24
2010004301,GARDENIA CREAM ROLL-CHOC 50G *1,25
2010005401,GARDENIA CLASSIC ENRICHED WHITE 400G *1,26
2010006001,GARDENIA TWIGGIES CREAM DREAM 2x40G *1,27
2010006101,GARDENIA TWIGGIES CHOC-A-LOT 2x40G *1,28
2010029901,GARDENIA BONANZA KELUARGA 500G *1,29
2010035001,APOLLO LAYER CAKE VANILLA M/P 8X18G*1,30
2010036201,GARDENIA DELICIA CHOCO RAISIN 360G*1,31
2010037801,GARDENIA WAFFLES EGG VANILLA 42GM*1,32
2010038101,GARDENIA WAFFLES BLUEBERRY 42GM*1,33
2010038701,MASSIMO WHITE SANDWICH LOAF 600GM*1,34
2010038801,MASSIMO SANDWICH WHEAT GERM 400GM*1,35
2010038901,MASSIMO SANDWICH WHEAT GERM 600GM*1,36
2010039001,MASSIMO CHOCO CREAM ROLL 50GM*1,37
2010039101,MASSIMO CORN CREAM ROLL 50GM*1,38
2010039601,MISSION TORTILLA W/GRAIN WRAPS 360GM*1,39
2010039801,MISSION TORTILLA POTATO WRAPS 360GM*1,40
2010039901,MASSIMO WHOLEMEAL 400GM*1,41
2010040001,GARDENIA BREAKTHRU BRAN&WHEATGERM 400G,42
2010040101,GARDENIA FINEGRAIN W/MEAL 400GM*1,43
2010040201,GARDENIA 100% W/GRAIN PURPLE WHEAT 400GM,44
2010040501,KELLOGG'S S'MORES 14.7 OZ*1,45
2010040701,KELLOGG'S POP TART CHOCO FUDGE 13.5OZ,46
2010040801,ADVENTIST 7 GRAINS SPROUTED BREAD*1,47
2010040901,ADVENTIST 3 SEEDS SPROUTED BREAD*1,48
2010046601,MASSIMO CHIFFON IN CUP CLASSIC 35GM,49
2010047701,MISSION TORTILLA 6 GRAINS WRAPS 360G,50
2010048801,MASSIMO FINE WHOLEMEAL BREAD 400G,51
2010674101,MISSION PITA WHOLEMEAL 5'S 400G,52
2010674201,MASSIMO CHIFFON IN CUP PANDAN COCONUT 35G,53
2010674901,MASSIMO CHIFFON IN CUP CHEESE 35G,54
2010675401,APOLLO LAYER CAKE PANDAN 24x18G,55
2010675501,APOLLO LAYER CAKE STRAWBERRY 24x18G,56
2030052201,CHIPSMORE MINI DOUBLE CHOC 72G,57
2030052401,CHIPSMORE HAZELNUT 135G,58
2030052501,CHIPSMORE DOUBLE CHOCOLATE 135G,59
2030052801,TIGER BISKUAT ENERGY 144.4G,60
2030053601,TIGER ENERGY 53.2G,61
2030054001,TIGER MARIE 249.7G,62
2030066301,KRAFT OREO CHOCOLATE 110.4G,63
2030073801,TIGER SUSU BISCUITS 75GM,64
2030211001,KRAFT OREO STRAWBERRY 110.4G *1,65
2030361801,TIGER BISKUAT ORIGINAL JUMBO 364.8GM,66
2030361901,TIGER BISKUAT CHOCOLATE JUMBO 364.8GM,67
2030408401,ORI CHOCOLATE SANDWICH BISCUIT 630G,68
2030436901,MINI OREO BIG POUCH VANILLA 61.3GM*1,69
2030437001,MINI OREO BIG POUCH CHOCO. 61.3G,70
2031659501,MINI OREO ORI. MULTIPACK 8X17.5G,71
2031743501,JACOB'S VP WEETAMEAL 289G,72
2031743701,JACOB'S CREAM CRACKER SACHET MP BOX 216G,73
2031743801,JACOB'S MULTIPACK WEETAMEAL 144G,74
2031793301,TIGER PS ORI SMALL MP 372.4G,75
2031793401,TIGER PS CHOC SMALL MP 372.4G,76
2031793501,CHIPSMORE ORIGINAL MEGA VALUE PACK 14x24G,77
2031800401,CHIPSMORE HAZELNUT HANDY MP 8x24G,78
2031923801,JACOB'S WEETAMEAL 502G,79
2031926001,CHIPSMORE DOUBLE CHOC MP 8x36G,80
2031974101,OREO SPACEBURST CREAM L/E 9x27.6G,81
2040011101,TWISTIES CHICKEN 60G,82
2040011201,TWISTIES BBQ CURRY 60G *1,83
2040011501,TWISTIES CHEESE(1x8sx15G)*1,84
2040011801,TWISTIES CHEESE 140G *1,85
2040012001,TWISTIES BBQ CURRY 140G *1,86
2040012101,CHEEZELS 60G *1,87
2040012601,CHACHO'S BBQ BONANZA 70G,88
2040012701,CHACHO'S CHEESY CHEESE 160G,89
2040063601,TOBLERONE WHITE 100G *1,90
2040115301,CHEEZELS 140GM *1,91
2040230601,CHEEZELS BBQ CHEESE 60G *1,92
2040272701,TWISTIES CHIPSTER HOT & SPICY 60G,93
2041816301,TWISTIES BBQ CURRY 13G (24PKT),94
2041880901,JACOB'S BAKED CRISP ORIGINAL 229G,95
2041881101,JACOB'S BAKED CRISP SOUR CREAM 229G,96
2041982801,CADBURY COOKIES 150G,97
2042036301,JACOB BAKED CRISPS SWEET CHILLI 229G,98
20250901001,GARDENIA DELICIA CHOCO RAISIN 360G*1,99
