date,item_id,item_desc,qty_ordered,promo_flag,unit_price,warehouse_stock_on_hand,reorder_point,is_stockout
2025-05-01,2010048801,MASSIMO FINE WHOLEMEAL BREAD 400G,72,0,4.75,1062,812,0
2025-05-01,1090092001,KACANG PARANG CILI,0,0,7.86,62,50,0
2025-05-01,1120003601,WYCCO171SSASSO/COOKIE CUTTER- 1SET,0,0,2.53,248,161,0
2025-05-01,2040011101,TWISTIES CHICKEN 60G,35,0,1.73,113,75,0
2025-05-01,2030437001,MINI OREO BIG POUCH CHOCO. 61.3G,0,0,5.81,97,50,0
2025-05-01,2030052801,TIGER BISKUAT ENERGY 144.4G,33,0,2.61,229,81,0
2025-05-01,2010039101,MASSIMO CORN CREAM ROLL 50GM*1,0,0,7.49,370,133,0
2025-05-01,2040012701,CHACHO'S CHEESY CHEESE 160G,0,0,3.45,106,50,0
2025-05-01,2040230601,CHEEZELS BBQ CHEESE 60G *1,0,0,2.72,89,58,0
2025-05-01,2010006001,GARDENIA TWIGGIES CREAM DREAM 2x40G *1,18,0,5.46,315,238,0
2025-05-01,2010038801,MASSIMO SANDWICH WHEAT GERM 400GM*1,0,0,6.89,88,50,0
2025-05-01,2041816301,TWISTIES BBQ CURRY 13G (24PKT),0,0,2.67,70,50,0
2025-05-01,2040012101,CHEEZELS 60G *1,0,0,3.32,62,52,0
2025-05-01,2010040101,GARDENIA FINEGRAIN W/MEAL 400GM*1,0,0,3.6,63,50,0
2025-05-01,2041880901,JACOB'S BAKED CRISP ORIGINAL 229G,0,0,6.74,80,50,0
2025-05-01,2040272701,TWISTIES CHIPSTER HOT & SPICY 60G,13,0,3.93,129,52,0
2025-05-01,2010036201,GARDENIA DELICIA CHOCO RAISIN 360G*1,0,0,2.52,122,58,0
2025-05-01,2031974101,OREO SPACEBURST CREAM L/E 9x27.6G,36,0,7.81,778,434,0
2025-05-01,2010040501,KELLOGG'S S'MORES 14.7 OZ*1,15,0,4.44,71,50,0
2025-05-01,2010039001,MASSIMO CHOCO CREAM ROLL 50GM*1,26,0,6.61,374,322,0
2025-05-01,2030361801,TIGER BISKUAT ORIGINAL JUMBO 364.8GM,0,0,3.17,82,56,0
2025-05-01,1090128501,FRUIT NETRON 14 (PCS),0,0,2.28,142,56,0
2025-05-01,2031923801,JACOB'S WEETAMEAL 502G,20,0,4.07,119,50,0
2025-05-01,2010047701,MISSION TORTILLA 6 GRAINS WRAPS 360G,0,0,4.37,61,58,0
2025-05-01,2010038701,MASSIMO WHITE SANDWICH LOAF 600GM*1,0,0,5.78,141,50,0
2025-05-01,2010037801,GARDENIA WAFFLES EGG VANILLA 42GM*1,34,0,8.35,356,175,0
2025-05-01,2010040701,KELLOGG'S POP TART CHOCO FUDGE 13.5OZ,0,0,9.52,64,50,0
2025-05-01,2010038901,MASSIMO SANDWICH WHEAT GERM 600GM*1,0,0,6.78,95,79,0
2025-05-01,2030361901,TIGER BISKUAT CHOCOLATE JUMBO 364.8GM,0,0,2.99,97,50,0
2025-05-01,2031659501,MINI OREO ORI. MULTIPACK 8X17.5G,0,0,2.75,62,58,0
2025-05-01,1080462101,MAMAMI ORGANIC WAVE OVERNIGHT OAT 120G,0,0,5.11,59,50,0
2025-05-01,1090128701,FRUIT NETRON 14 (CTN),18,0,8.63,120,50,0
2025-05-01,2010035001,APOLLO LAYER CAKE VANILLA M/P 8X18G*1,0,0,5.53,181,70,0
2025-05-01,2010039801,MISSION TORTILLA POTATO WRAPS 360GM*1,0,0,3.35,107,52,0
2025-05-01,2031926001,CHIPSMORE DOUBLE CHOC MP 8x36G,46,0,2.91,334,158,0
2025-05-01,20250901001,GARDENIA DELICIA CHOCO RAISIN 360G*1,0,0,8.18,86,50,0
2025-05-01,2031743501,JACOB'S VP WEETAMEAL 289G,0,0,2.04,114,52,0
2025-05-01,2031743801,JACOB'S MULTIPACK WEETAMEAL 144G,23,0,7.65,140,70,0
2025-05-01,2040012001,TWISTIES BBQ CURRY 140G *1,0,0,4.59,62,50,0
